pca1	pca2	community	category
 0.2998	-0.0565	streetwear	other
-0.2284	-0.3301	Jokes	other
 0.7327	 0.1207	MaddenUltimateTeam	videogames
-0.0946	-0.4674	cringe	other
 0.4028	-0.4171	CFB	sports
-0.2159	-0.0935	food	other
 0.3566	 0.3712	pcmasterrace	technology
 0.0977	 0.5997	jailbreak	technology
 0.4470	-0.5293	MLS	sports
 0.2382	-0.6163	MMA	sports
-0.0276	-0.3736	rupaulsdragrace	other
 0.5354	 0.0346	GlobalOffensive	videogames
-0.0242	-0.1559	bodybuilding	other
 0.5918	-0.3471	Kappa	other
-0.1303	-0.3761	videos	other
 0.4474	-0.4918	reddevils	sports
-0.2009	-0.1996	todayilearned	general-interest
 0.0505	 0.3426	KerbalSpaceProgram	videogames
-0.1385	-0.3994	justneckbeardthings	other
-0.2971	 0.0722	LifeProTips	general-interest
 0.2890	 0.2585	airsoft	other
 0.3636	 0.4992	GameDeals	other
-0.1062	-0.1383	toronto	other
 0.2061	 0.1493	eu4	videogames
-0.0512	 0.1076	cars	other
 0.2456	 0.3604	Warframe	videogames
-0.1657	-0.0109	EarthPorn	other
 0.0939	 0.6919	techsupport	technology
 0.4143	 0.1621	heroesofthestorm	videogames
-0.1591	 0.0194	Drugs	other
 0.1389	 0.3784	oculus	technology
 0.0429	-0.1310	KotakuInAction	other
-0.4270	 0.0023	exjw	other
-0.5066	 0.1040	stopdrinking	other
-0.4440	-0.1182	AskWomen	female-focused
 0.2156	 0.1675	EDH	videogames
-0.2182	 0.3128	photography	other
-0.2727	 0.1094	Fantasy	other
-0.2475	 0.2920	femalefashionadvice	female-focused
-0.2908	-0.0358	breakingmom	female-focused
-0.2977	 0.1598	BabyBumps	female-focused
-0.2858	-0.0154	explainlikeimfive	general-interest
-0.3505	 0.1219	xxfitness	female-focused
-0.3920	-0.1136	TwoXChromosomes	female-focused
-0.3251	 0.0657	Advice	general-interest
-0.3121	-0.0863	relationships	general-interest
