community	lstm-3_cclm	lstm-3-0_cclm	lstm-3-1_cclm	lstm-3-2_cclm	lstm-3-3_cclm	transformer-3_cclm	transformer-3-0_cclm	transformer-3-1_cclm	transformer-3-2_cclm	transformer-3-3_cclm	lstm-3-0_lmcc	lstm-3-1_lmcc	lstm-3-2_lmcc	lstm-3-3_lmcc	transformer-3-0_lmcc	transformer-3-1_lmcc	transformer-3-2_lmcc	transformer-3-3_lmcc	lstm-3-0_gain	lstm-3-1_gain	lstm-3-2_gain	lstm-3-3_gain	transformer-3-0_gain	transformer-3-1_gain	transformer-3-2_gain	transformer-3-3_gain
oculus	 83.1038	 82.1477	 80.3773	 80.0500	 80.0311	 96.7487	 94.3340	 99.0418	 127.0726	 92.6513	 15.0599	 15.1323	 14.8561	 15.0220	 18.5118	 17.6709	 14.4642	 14.1406	 1.0258	 1.0478	 1.0499	 1.0541	 1.0475	 0.9952	 0.7915	 1.0602
pcmasterrace	 73.0151	 73.7826	 70.4525	 72.2467	 72.3029	 85.2680	 83.0200	 88.4812	 117.3337	 83.1925	 31.2320	 30.8719	 30.7674	 31.8898	 34.3988	 34.9226	 30.3982	 30.9019	 1.0557	 1.0874	 1.0471	 1.0497	 1.0637	 1.0257	 0.8323	 1.0838
photography	 73.5450	 73.8873	 71.5686	 72.3649	 71.1337	 86.9183	 85.0863	 89.2762	 117.2621	 83.3982	 12.2562	 11.7266	 11.4183	 12.1791	 12.9380	 12.2376	 10.5281	 10.8846	 1.0240	 1.0489	 1.0401	 1.0575	 1.0470	 0.9953	 0.7709	 1.0568
reddevils	 84.2507	 77.3624	 76.1534	 76.1941	 77.3456	 100.3546	 91.0670	 94.7528	 119.3096	 89.2806	 13.8883	 13.4637	 13.3584	 14.6568	 17.7392	 15.3954	 14.7236	 14.3921	 1.0905	 1.1186	 1.1076	 1.1144	 1.1444	 1.0933	 0.9006	 1.1609
relationships	 53.0705	 54.8320	 53.3855	 53.9646	 53.0925	 62.1936	 63.0402	 67.3535	 89.0731	 64.1406	 19.9974	 21.1847	 21.0577	 24.2222	 26.6767	 21.8408	 19.4091	 21.9947	 0.9876	 1.0176	 1.0036	 1.0200	 1.0085	 0.9462	 0.7271	 0.9982
rupaulsdragrace	 88.6879	 83.0677	 80.9155	 82.2588	 81.8837	 104.5778	 93.8090	 103.8160	 124.9671	 94.4418	 16.5225	 15.7006	 15.7828	 17.2123	 21.3404	 18.6940	 17.3281	 16.8421	 1.0889	 1.1234	 1.1052	 1.1126	 1.1371	 1.0741	 0.9105	 1.1581
stopdrinking	 53.2666	 54.2918	 52.6080	 53.4432	 58.7382	 65.7289	 66.4644	 66.4888	 92.0840	 63.0231	 12.9696	 13.7663	 14.4554	 17.8442	 19.1150	 14.7116	 12.9491	 15.5231	 1.0418	 1.0619	 1.0413	 1.0502	 1.0521	 0.9975	 0.7858	 1.0406
streetwear	 99.6397	 90.1945	 85.7187	 87.1494	 88.9928	 122.1410	 102.7524	 118.6497	 136.5396	 103.4539	 20.0563	 19.1939	 19.1460	 21.6202	 23.6814	 24.0060	 19.0194	 20.9280	 1.1811	 1.2114	 1.1830	 1.1726	 1.2321	 1.1653	 1.0175	 1.2745
techsupport	 66.7422	 64.9771	 63.3201	 64.2325	 64.2803	 78.6544	 75.0697	 79.6224	 105.6303	 74.8012	 9.9115	 9.9723	 10.4940	 10.7420	 13.8330	 12.1869	 8.4654	 9.1079	 1.0619	 1.0801	 1.0689	 1.0643	 1.0637	 1.0082	 0.7737	 1.0661
todayilearned	 91.1644	 93.1146	 92.5071	 93.1316	 91.7330	 105.8007	 105.9345	 112.4558	 144.4874	 106.8895	 39.4682	 39.2963	 38.7446	 40.4847	 42.4720	 41.3278	 39.6828	 39.7830	 0.9939	 1.0159	 0.9984	 1.0210	 1.0286	 0.9771	 0.7850	 1.0307
toronto	 86.7061	 87.4933	 85.3314	 85.9438	 85.2392	 100.6104	 100.7495	 105.1303	 137.1229	 99.8181	 31.3949	 31.8755	 29.5726	 31.2553	 36.2815	 33.6185	 29.2396	 30.7089	 0.9991	 1.0219	 1.0184	 1.0288	 1.0240	 0.9778	 0.7761	 1.0335
videos	 81.9266	 83.1786	 80.6591	 82.1302	 80.2523	 95.3164	 95.4171	 100.8879	 127.8868	 95.1950	 40.6187	 40.1003	 39.9059	 41.2111	 43.4425	 42.2559	 41.0135	 40.6101	 1.0070	 1.0280	 1.0096	 1.0323	 1.0424	 0.9919	 0.7992	 1.0455
xxfitness	 65.4019	 66.6021	 65.1723	 64.9656	 64.2757	 77.2511	 76.4316	 81.3629	 111.4293	 76.1409	 14.8566	 15.4250	 14.0077	 16.6562	 17.9847	 15.8391	 15.3487	 14.2908	 1.0022	 1.0222	 1.0214	 1.0330	 1.0304	 0.9692	 0.7284	 1.0295
