pca1	pca2	community	category
 0.2463	 0.4423	streetwear	other
-0.0523	-0.2360	Jokes	other
 0.3326	 0.3127	MaddenUltimateTeam	videogames
 0.1154	-0.2083	cringe	other
 0.2533	-0.2094	CFB	sports
-0.1497	 0.2206	food	other
-0.0175	 0.1003	pcmasterrace	technology
-0.0074	 0.2717	jailbreak	technology
 0.2737	-0.1951	MLS	sports
 0.2035	-0.1866	MMA	sports
 0.4887	 0.0133	rupaulsdragrace	other
 0.1948	 0.0594	GlobalOffensive	videogames
 0.0053	 0.1290	bodybuilding	other
 0.4373	-0.0695	Kappa	other
-0.0186	-0.1585	videos	other
 0.2384	-0.1884	reddevils	sports
-0.0890	-0.1984	todayilearned	general-interest
-0.2525	-0.0392	KerbalSpaceProgram	videogames
 0.0330	-0.2389	justneckbeardthings	other
-0.2054	-0.0232	LifeProTips	general-interest
 0.0675	 0.2922	airsoft	other
-0.0807	 0.1036	GameDeals	other
-0.0680	-0.1804	toronto	other
-0.2558	-0.0511	eu4	videogames
-0.1007	 0.1210	cars	other
-0.0344	 0.0667	Warframe	videogames
-0.0886	 0.0703	EarthPorn	other
-0.3238	 0.1866	techsupport	technology
 0.0470	 0.0268	heroesofthestorm	videogames
-0.1438	 0.1305	Drugs	other
 0.0149	-0.0231	oculus	technology
 0.0771	-0.1399	KotakuInAction	other
-0.0716	-0.2149	exjw	other
-0.0378	 0.0452	stopdrinking	other
-0.0054	-0.0806	AskWomen	female-focused
-0.0292	 0.0836	EDH	videogames
-0.0137	 0.1824	photography	other
 0.0656	-0.0660	Fantasy	other
 0.0144	 0.2489	femalefashionadvice	female-focused
-0.1812	-0.1200	breakingmom	female-focused
-0.1044	 0.0180	BabyBumps	female-focused
-0.2041	-0.1089	explainlikeimfive	general-interest
-0.1178	 0.1072	xxfitness	female-focused
-0.1192	-0.1254	TwoXChromosomes	female-focused
-0.1638	-0.0055	Advice	general-interest
-0.1724	-0.1650	relationships	general-interest
