pca1	pca2	community	category
 0.5290	-0.6957	streetwear	other
-0.4272	-0.5745	Jokes	other
 1.2016	-0.1329	MaddenUltimateTeam	videogames
-0.0483	-0.7657	cringe	other
 0.8433	-0.9122	CFB	sports
-0.6434	-0.1954	food	other
 0.4510	 0.7320	pcmasterrace	technology
 0.3156	 1.0258	jailbreak	technology
 1.0280	-0.5727	MLS	sports
 0.6813	-0.8367	MMA	sports
 0.1687	-0.4322	rupaulsdragrace	other
 0.9045	-0.0403	GlobalOffensive	videogames
-0.1735	-0.5567	bodybuilding	other
 0.7839	-0.8524	Kappa	other
-0.1397	-0.5611	videos	other
 1.1779	-0.3793	reddevils	sports
-0.3886	-0.3868	todayilearned	general-interest
-0.0900	 1.1072	KerbalSpaceProgram	videogames
-0.3917	-0.7098	justneckbeardthings	other
-0.6367	 0.0383	LifeProTips	general-interest
 0.3491	 0.5912	airsoft	other
 0.5323	 0.9413	GameDeals	other
-0.1470	-0.1821	toronto	other
 0.2473	 0.6505	eu4	videogames
 0.0021	 0.0957	cars	other
 0.4844	 0.4706	Warframe	videogames
-0.4606	-0.0247	EarthPorn	other
 0.2041	 1.4509	techsupport	technology
 0.6720	 0.5158	heroesofthestorm	videogames
-0.6341	-0.1370	Drugs	other
 0.4721	 0.4174	oculus	technology
 0.1639	-0.0966	KotakuInAction	other
-0.6262	-0.2994	exjw	other
-0.8454	-0.0630	stopdrinking	other
-0.9349	-0.1970	AskWomen	female-focused
 0.6893	 0.2164	EDH	videogames
-0.1909	 0.5878	photography	other
-0.5131	 0.4390	Fantasy	other
-0.3548	 0.2278	femalefashionadvice	female-focused
-0.5757	-0.0288	breakingmom	female-focused
-0.5919	 0.2175	BabyBumps	female-focused
-0.6224	 0.0673	explainlikeimfive	general-interest
-0.7439	 0.1853	xxfitness	female-focused
-0.6705	-0.2571	TwoXChromosomes	female-focused
-0.4622	 0.0434	Advice	general-interest
-0.5888	-0.1311	relationships	general-interest
