actual_comm	confered_to	avg_prob
0	0	 0.1119
0	1	 0.0410
0	2	 0.0243
0	3	 0.0108
0	4	 0.0264
0	5	 0.0071
0	6	 0.0129
0	7	 0.0134
0	8	 0.0081
0	9	 0.0106
0	10	 0.0144
0	11	 0.0098
0	12	 0.0074
0	13	 0.0125
0	14	 0.0422
0	15	 0.0081
0	16	 0.0085
0	17	 0.0086
0	18	 0.0346
0	19	 0.0077
0	20	 0.0159
0	21	 0.0159
0	22	 0.0315
0	23	 0.0186
0	24	 0.0156
0	25	 0.0076
0	26	 0.0335
0	27	 0.0249
0	28	 0.0263
0	29	 0.0143
0	30	 0.0058
0	31	 0.0108
0	32	 0.0154
0	33	 0.0096
0	34	 0.0134
0	35	 0.0270
0	36	 0.0079
0	37	 0.1000
0	38	 0.0086
0	39	 0.0468
0	40	 0.0133
0	41	 0.0202
0	42	 0.0168
0	43	 0.0332
0	44	 0.0181
0	45	 0.0288
1	0	 0.0507
1	1	 0.0660
1	2	 0.0372
1	3	 0.0105
1	4	 0.0236
1	5	 0.0074
1	6	 0.0146
1	7	 0.0222
1	8	 0.0088
1	9	 0.0091
1	10	 0.0202
1	11	 0.0110
1	12	 0.0089
1	13	 0.0207
1	14	 0.0317
1	15	 0.0095
1	16	 0.0101
1	17	 0.0079
1	18	 0.0469
1	19	 0.0079
1	20	 0.0144
1	21	 0.0222
1	22	 0.0417
1	23	 0.0119
1	24	 0.0190
1	25	 0.0077
1	26	 0.0265
1	27	 0.0229
1	28	 0.0583
1	29	 0.0237
1	30	 0.0066
1	31	 0.0082
1	32	 0.0274
1	33	 0.0087
1	34	 0.0112
1	35	 0.0169
1	36	 0.0091
1	37	 0.0597
1	38	 0.0150
1	39	 0.0315
1	40	 0.0182
1	41	 0.0086
1	42	 0.0198
1	43	 0.0214
1	44	 0.0197
1	45	 0.0449
2	0	 0.0260
2	1	 0.0388
2	2	 0.2877
2	3	 0.0070
2	4	 0.0146
2	5	 0.0041
2	6	 0.0102
2	7	 0.0099
2	8	 0.0079
2	9	 0.0048
2	10	 0.0111
2	11	 0.0042
2	12	 0.0062
2	13	 0.0071
2	14	 0.0198
2	15	 0.0067
2	16	 0.0049
2	17	 0.0072
2	18	 0.0289
2	19	 0.0061
2	20	 0.0131
2	21	 0.0123
2	22	 0.1117
2	23	 0.0101
2	24	 0.0079
2	25	 0.0056
2	26	 0.0161
2	27	 0.0129
2	28	 0.0539
2	29	 0.0229
2	30	 0.0053
2	31	 0.0100
2	32	 0.0082
2	33	 0.0079
2	34	 0.0079
2	35	 0.0091
2	36	 0.0060
2	37	 0.0259
2	38	 0.0117
2	39	 0.0286
2	40	 0.0094
2	41	 0.0081
2	42	 0.0105
2	43	 0.0128
2	44	 0.0105
2	45	 0.0483
3	0	 0.0091
3	1	 0.0097
3	2	 0.0091
3	3	 0.2855
3	4	 0.0095
3	5	 0.0087
3	6	 0.0201
3	7	 0.0093
3	8	 0.0115
3	9	 0.0165
