actual_comm	confered_to	avg_prob
0	0	 0.1567
0	1	 0.0559
0	2	 0.0233
0	3	 0.0059
0	4	 0.0282
0	5	 0.0037
0	6	 0.0080
0	7	 0.0089
0	8	 0.0075
0	9	 0.0081
0	10	 0.0149
0	11	 0.0070
0	12	 0.0061
0	13	 0.0133
0	14	 0.0478
0	15	 0.0059
0	16	 0.0081
0	17	 0.0065
0	18	 0.0608
0	19	 0.0047
0	20	 0.0074
0	21	 0.0158
0	22	 0.0415
0	23	 0.0143
0	24	 0.0150
0	25	 0.0048
0	26	 0.0266
0	27	 0.0280
0	28	 0.0154
0	29	 0.0108
0	30	 0.0044
0	31	 0.0087
0	32	 0.0122
0	33	 0.0077
0	34	 0.0121
0	35	 0.0125
0	36	 0.0053
0	37	 0.1318
0	38	 0.0075
0	39	 0.0338
0	40	 0.0086
0	41	 0.0111
0	42	 0.0183
0	43	 0.0252
0	44	 0.0162
0	45	 0.0237
1	0	 0.0494
1	1	 0.1066
1	2	 0.0413
1	3	 0.0074
1	4	 0.0168
1	5	 0.0042
1	6	 0.0116
1	7	 0.0226
1	8	 0.0071
1	9	 0.0072
1	10	 0.0196
1	11	 0.0082
1	12	 0.0070
1	13	 0.0225
1	14	 0.0378
1	15	 0.0077
1	16	 0.0092
1	17	 0.0053
1	18	 0.0755
1	19	 0.0057
1	20	 0.0081
1	21	 0.0186
1	22	 0.0496
1	23	 0.0086
1	24	 0.0197
1	25	 0.0047
1	26	 0.0240
1	27	 0.0234
1	28	 0.0459
1	29	 0.0207
1	30	 0.0048
1	31	 0.0051
1	32	 0.0267
1	33	 0.0067
1	34	 0.0093
1	35	 0.0098
1	36	 0.0059
1	37	 0.0785
1	38	 0.0148
1	39	 0.0241
1	40	 0.0111
1	41	 0.0039
1	42	 0.0203
1	43	 0.0175
1	44	 0.0198
1	45	 0.0458
2	0	 0.0255
2	1	 0.0338
2	2	 0.3652
2	3	 0.0040
2	4	 0.0106
2	5	 0.0034
2	6	 0.0104
2	7	 0.0082
2	8	 0.0042
2	9	 0.0038
2	10	 0.0080
2	11	 0.0036
2	12	 0.0059
2	13	 0.0054
2	14	 0.0206
2	15	 0.0037
2	16	 0.0041
2	17	 0.0042
2	18	 0.0357
2	19	 0.0036
2	20	 0.0069
2	21	 0.0112
2	22	 0.1353
2	23	 0.0064
2	24	 0.0065
2	25	 0.0032
2	26	 0.0135
2	27	 0.0102
2	28	 0.0287
2	29	 0.0201
2	30	 0.0034
2	31	 0.0058
2	32	 0.0062
2	33	 0.0060
2	34	 0.0053
2	35	 0.0060
2	36	 0.0035
2	37	 0.0325
2	38	 0.0110
2	39	 0.0335
2	40	 0.0051
2	41	 0.0031
2	42	 0.0080
2	43	 0.0114
2	44	 0.0073
2	45	 0.0466
3	0	 0.0096
3	1	 0.0098
3	2	 0.0068
3	3	 0.3485
3	4	 0.0086
3	5	 0.0057
3	6	 0.0173
3	7	 0.0091
3	8	 0.0090
3	9	 0.0152
3	10	 0.0206
3	11	 0.0220
3	12	 0.0091
3	13	 0.0131
3	14	 0.0136
3	15	 0.0672
3	16	 0.0256
3	17	 0.0402
3	18	 0.0094
3	19	 0.0069
3	20	 0.0105
3	21	 0.0161
3	22	 0.0092
3	23	 0.0101
3	24	 0.0186
3	25	 0.0096
3	26	 0.0128
3	27	 0.0136
3	28	 0.0056
3	29	 0.0152
3	30	 0.0114
3	31	 0.0065
3	32	 0.0172
3	33	 0.0078
3	34	 0.0118
3	35	 0.0058
3	36	 0.0347
3	37	 0.0077
3	38	 0.0135
3	39	 0.0103
3	40	 0.0157
3	41	 0.0056
3	42	 0.0176
3	43	 0.0197
3	44	 0.0183
3	45	 0.0076
4	0	 0.0268
4	1	 0.0172
4	2	 0.0094
4	3	 0.0081
4	4	 0.3932
4	5	 0.0044
4	6	 0.0144
4	7	 0.0087
4	8	 0.0075
4	9	 0.0105
4	10	 0.0176
4	11	 0.0125
