actual_comm	confered_to	avg_prob
6	42	 0.0268
6	43	 0.0277
6	44	 0.0246
6	45	 0.0107
7	0	 0.0096
7	1	 0.0156
7	2	 0.0092
7	3	 0.0069
7	4	 0.0094
7	5	 0.0076
7	6	 0.0115
7	7	 0.5202
7	8	 0.0245
7	9	 0.0058
7	10	 0.0130
7	11	 0.0067
7	12	 0.0082
7	13	 0.0267
7	14	 0.0112
7	15	 0.0079
7	16	 0.0083
7	17	 0.0067
7	18	 0.0132
7	19	 0.0082
7	20	 0.0075
7	21	 0.0059
7	22	 0.0110
7	23	 0.0084
7	24	 0.0119
7	25	 0.0066
7	26	 0.0187
7	27	 0.0176
7	28	 0.0087
7	29	 0.0097
7	30	 0.0064
7	31	 0.0068
7	32	 0.0150
7	33	 0.0141
7	34	 0.0102
7	35	 0.0090
7	36	 0.0076
7	37	 0.0091
7	38	 0.0111
7	39	 0.0136
7	40	 0.0066
7	41	 0.0043
7	42	 0.0187
7	43	 0.0098
7	44	 0.0141
7	45	 0.0073
8	0	 0.0055
8	1	 0.0061
8	2	 0.0054
8	3	 0.0086
8	4	 0.0065
8	5	 0.0104
8	6	 0.0085
8	7	 0.0230
8	8	 0.4146
8	9	 0.0162
8	10	 0.0085
8	11	 0.0192
8	12	 0.0149
8	13	 0.0195
8	14	 0.0099
8	15	 0.0095
8	16	 0.0046
8	17	 0.0128
8	18	 0.0053
8	19	 0.0251
8	20	 0.0137
8	21	 0.0050
8	22	 0.0050
8	23	 0.0080
8	24	 0.0072
8	25	 0.0180
8	26	 0.0080
8	27	 0.0123
8	28	 0.0089
8	29	 0.0095
8	30	 0.0271
8	31	 0.0163
8	32	 0.0080
8	33	 0.0364
8	34	 0.0748
8	35	 0.0084
8	36	 0.0079
8	37	 0.0034
8	38	 0.0063
8	39	 0.0063
8	40	 0.0119
8	41	 0.0281
8	42	 0.0097
8	43	 0.0106
8	44	 0.0102
8	45	 0.0047
9	0	 0.0094
9	1	 0.0082
9	2	 0.0056
9	3	 0.0150
9	4	 0.0113
9	5	 0.0080
9	6	 0.0130
9	7	 0.0056
9	8	 0.0233
9	9	 0.3208
9	10	 0.0176
9	11	 0.0317
9	12	 0.0146
9	13	 0.0171
9	14	 0.0132
9	15	 0.0159
9	16	 0.0152
9	17	 0.0151
9	18	 0.0083
9	19	 0.0281
9	20	 0.0201
9	21	 0.0131
9	22	 0.0066
9	23	 0.0086
9	24	 0.0203
9	25	 0.0123
9	26	 0.0112
9	27	 0.0125
9	28	 0.0053
9	29	 0.0104
9	30	 0.0538
9	31	 0.0169
9	32	 0.0180
9	33	 0.0193
9	34	 0.0361
9	35	 0.0101
9	36	 0.0120
9	37	 0.0072
9	38	 0.0102
9	39	 0.0072
9	40	 0.0171
9	41	 0.0245
9	42	 0.0138
9	43	 0.0124
9	44	 0.0177
9	45	 0.0064
10	0	 0.0172
10	1	 0.0237
10	2	 0.0129
10	3	 0.0217
10	4	 0.0206
10	5	 0.0083
10	6	 0.0253
10	7	 0.0167
10	8	 0.0146
10	9	 0.0216
10	10	 0.0810
10	11	 0.0277
10	12	 0.0175
10	13	 0.0272
10	14	 0.0259
10	15	 0.0175
10	16	 0.0178
10	17	 0.0149
10	18	 0.0234
10	19	 0.0132
10	20	 0.0144
10	21	 0.0207
10	22	 0.0189
10	23	 0.0190
10	24	 0.0428
10	25	 0.0136
10	26	 0.0259
10	27	 0.0317
10	28	 0.0091
10	29	 0.0309
10	30	 0.0093
10	31	 0.0157
10	32	 0.0430
10	33	 0.0135
10	34	 0.0187
10	35	 0.0106
10	36	 0.0138
10	37	 0.0168
10	38	 0.0223
10	39	 0.0144
10	40	 0.0198
10	41	 0.0095
10	42	 0.0426
10	43	 0.0237
10	44	 0.0393
10	45	 0.0113
11	0	 0.0091
11	1	 0.0110
11	2	 0.0065
11	3	 0.0187
11	4	 0.0149
11	5	 0.0083
11	6	 0.0107
11	7	 0.0086
11	8	 0.0264
11	9	 0.0315
11	10	 0.0240
11	11	 0.2986
11	12	 0.0098
11	13	 0.0303
11	14	 0.0137
11	15	 0.0163
11	16	 0.0235
11	17	 0.0162
11	18	 0.0102
11	19	 0.0159
11	20	 0.0099
11	21	 0.0212
11	22	 0.0089
11	23	 0.0112
11	24	 0.0310
11	25	 0.0090
11	26	 0.0103
11	27	 0.0134
11	28	 0.0068
11	29	 0.0142
11	30	 0.0207
11	31	 0.0120
11	32	 0.0277
11	33	 0.0150
11	34	 0.0282
11	35	 0.0066
11	36	 0.0155
11	37	 0.0074
11	38	 0.0191
11	39	 0.0065
11	40	 0.0306
11	41	 0.0091
11	42	 0.0179
11	43	 0.0135
11	44	 0.0228
11	45	 0.0074
12	0	 0.0062
12	1	 0.0074
12	2	 0.0067
12	3	 0.0083
12	4	 0.0065
12	5	 0.0061
12	6	 0.0156
12	7	 0.0103
12	8	 0.0223
12	9	 0.0147
12	10	 0.0150
12	11	 0.0104
12	12	 0.4655
12	13	 0.0123
12	14	 0.0112
12	15	 0.0096
12	16	 0.0094
12	17	 0.0069
12	18	 0.0066
12	19	 0.0210
12	20	 0.0131
12	21	 0.0091
12	22	 0.0064
12	23	 0.0165
12	24	 0.0114
12	25	 0.0122
12	26	 0.0113
12	27	 0.0185
12	28	 0.0060
12	29	 0.0119
12	30	 0.0081
12	31	 0.0203
12	32	 0.0115
12	33	 0.0318
12	34	 0.0259
12	35	 0.0109
12	36	 0.0065
12	37	 0.0049
12	38	 0.0105
12	39	 0.0068
12	40	 0.0075
12	41	 0.0220
12	42	 0.0133
12	43	 0.0085
12	44	 0.0161
12	45	 0.0071
13	0	 0.0141
13	1	 0.0188
13	2	 0.0058
13	3	 0.0108
13	4	 0.0103
13	5	 0.0070
13	6	 0.0100
13	7	 0.0260
13	8	 0.0300
13	9	 0.0167
13	10	 0.0249
13	11	 0.0283
13	12	 0.0113
13	13	 0.2500
13	14	 0.0168
13	15	 0.0139
13	16	 0.0149
13	17	 0.0056
13	18	 0.0315
13	19	 0.0118
13	20	 0.0084
13	21	 0.0094
13	22	 0.0082
13	23	 0.0084
13	24	 0.0330
13	25	 0.0087
13	26	 0.0224
13	27	 0.0343
13	28	 0.0070
13	29	 0.0109
13	30	 0.0113
13	31	 0.0091
13	32	 0.0401
13	33	 0.0247
13	34	 0.0287
13	35	 0.0083
13	36	 0.0101
13	37	 0.0117
13	38	 0.0165
13	39	 0.0069
13	40	 0.0098
13	41	 0.0083
13	42	 0.0382
13	43	 0.0268
13	44	 0.0341
13	45	 0.0062
14	0	 0.0428
14	1	 0.0319
14	2	 0.0184
14	3	 0.0121
14	4	 0.0273
14	5	 0.0057
14	6	 0.0192
14	7	 0.0119
14	8	 0.0136
14	9	 0.0181
14	10	 0.0284
14	11	 0.0144
14	12	 0.0113
14	13	 0.0196
14	14	 0.0561
14	15	 0.0103
14	16	 0.0108
14	17	 0.0097
14	18	 0.0339
14	19	 0.0102
14	20	 0.0177
14	21	 0.0232
14	22	 0.0244
14	23	 0.0286
14	24	 0.0236
14	25	 0.0062
14	26	 0.0284
14	27	 0.0392
14	28	 0.0148
14	29	 0.0355
14	30	 0.0073
14	31	 0.0180
14	32	 0.0256
14	33	 0.0162
14	34	 0.0268
14	35	 0.0187
14	36	 0.0072
14	37	 0.0286
14	38	 0.0113
14	39	 0.0297
14	40	 0.0169
14	41	 0.0235
14	42	 0.0308
14	43	 0.0380
14	44	 0.0292
14	45	 0.0249
15	0	 0.0075
15	1	 0.0096
15	2	 0.0071
15	3	 0.0661
15	4	 0.0076
15	5	 0.0074
15	6	 0.0176
15	7	 0.0077
15	8	 0.0103
15	9	 0.0175
15	10	 0.0175
15	11	 0.0179
15	12	 0.0087
15	13	 0.0173
15	14	 0.0107
15	15	 0.3258
15	16	 0.0231
15	17	 0.0198
15	18	 0.0090
15	19	 0.0081
15	20	 0.0107
15	21	 0.0125
15	22	 0.0077
15	23	 0.0092
15	24	 0.0197
15	25	 0.0089
15	26	 0.0100
15	27	 0.0131
15	28	 0.0068
15	29	 0.0149
15	30	 0.0104
15	31	 0.0088
15	32	 0.0162
15	33	 0.0121
15	34	 0.0112
15	35	 0.0090
15	36	 0.0921
15	37	 0.0063
15	38	 0.0130
15	39	 0.0098
15	40	 0.0116
15	41	 0.0064
15	42	 0.0165
15	43	 0.0204
15	44	 0.0183
15	45	 0.0081
16	0	 0.0098
16	1	 0.0099
16	2	 0.0066
16	3	 0.0237
16	4	 0.0152
16	5	 0.0060
16	6	 0.0110
16	7	 0.0083
16	8	 0.0062
16	9	 0.0163
16	10	 0.0187
16	11	 0.0250
16	12	 0.0087
16	13	 0.0182
16	14	 0.0108
16	15	 0.0237
16	16	 0.4202
16	17	 0.0136
16	18	 0.0107
16	19	 0.0058
16	20	 0.0067
16	21	 0.0312
16	22	 0.0077
16	23	 0.0121
16	24	 0.0299
16	25	 0.0062
16	26	 0.0132
16	27	 0.0135
16	28	 0.0052
16	29	 0.0108
16	30	 0.0104
16	31	 0.0069
16	32	 0.0206
16	33	 0.0102
16	34	 0.0092
16	35	 0.0082
16	36	 0.0163
16	37	 0.0080
16	38	 0.0174
16	39	 0.0077
16	40	 0.0148
16	41	 0.0044
16	42	 0.0179
16	43	 0.0108
16	44	 0.0217
16	45	 0.0106
17	0	 0.0079
17	1	 0.0073
17	2	 0.0066
17	3	 0.0397
17	4	 0.0118
17	5	 0.0111
17	6	 0.0104
17	7	 0.0072
17	8	 0.0199
17	9	 0.0216
17	10	 0.0145
17	11	 0.0245
17	12	 0.0094
17	13	 0.0084
17	14	 0.0109
17	15	 0.0214
17	16	 0.0158
17	17	 0.4418
17	18	 0.0057
17	19	 0.0103
17	20	 0.0124
17	21	 0.0155
17	22	 0.0078
17	23	 0.0099
17	24	 0.0136
17	25	 0.0096
17	26	 0.0088
17	27	 0.0085
17	28	 0.0053
17	29	 0.0120
17	30	 0.0142
17	31	 0.0151
17	32	 0.0133
17	33	 0.0117
17	34	 0.0208
17	35	 0.0070
17	36	 0.0185
17	37	 0.0059
17	38	 0.0088
17	39	 0.0099
17	40	 0.0189
17	41	 0.0098
17	42	 0.0102
17	43	 0.0082
17	44	 0.0120
17	45	 0.0062
18	0	 0.0585
18	1	 0.0588
18	2	 0.0441
18	3	 0.0083
18	4	 0.0166
18	5	 0.0032
18	6	 0.0084
18	7	 0.0146
18	8	 0.0058
18	9	 0.0096
18	10	 0.0223
18	11	 0.0084
18	12	 0.0057
18	13	 0.0510
18	14	 0.0284
18	15	 0.0082
18	16	 0.0087
18	17	 0.0042
18	18	 0.1297
18	19	 0.0051
18	20	 0.0072
18	21	 0.0124
18	22	 0.0388
18	23	 0.0080
18	24	 0.0248
18	25	 0.0050
18	26	 0.0307
18	27	 0.0364
18	28	 0.0197
18	29	 0.0108
18	30	 0.0047
18	31	 0.0063
18	32	 0.0256
18	33	 0.0076
18	34	 0.0086
18	35	 0.0079
18	36	 0.0061
18	37	 0.0769
18	38	 0.0124
18	39	 0.0209
18	40	 0.0087
18	41	 0.0054
18	42	 0.0368
18	43	 0.0295
18	44	 0.0247
18	45	 0.0246
19	0	 0.0059
19	1	 0.0067
19	2	 0.0053
19	3	 0.0070
19	4	 0.0082
19	5	 0.0092
19	6	 0.0107
19	7	 0.0082
19	8	 0.0267
19	9	 0.0274
19	10	 0.0115
19	11	 0.0154
19	12	 0.0173
19	13	 0.0145
19	14	 0.0091
19	15	 0.0075
19	16	 0.0066
19	17	 0.0077
19	18	 0.0060
19	19	 0.5112
19	20	 0.0158
19	21	 0.0087
19	22	 0.0055
19	23	 0.0082
19	24	 0.0106
19	25	 0.0116
19	26	 0.0061
19	27	 0.0122
19	28	 0.0051
19	29	 0.0100
19	30	 0.0334
19	31	 0.0135
19	32	 0.0110
19	33	 0.0149
19	34	 0.0172
19	35	 0.0088
19	36	 0.0074
19	37	 0.0045
19	38	 0.0086
19	39	 0.0059
19	40	 0.0082
19	41	 0.0119
19	42	 0.0108
19	43	 0.0095
19	44	 0.0123
19	45	 0.0061
20	0	 0.0106
20	1	 0.0102
20	2	 0.0074
20	3	 0.0096
20	4	 0.0098
20	5	 0.0054
20	6	 0.0170
20	7	 0.0074
20	8	 0.0140
20	9	 0.0296
20	10	 0.0152
20	11	 0.0115
20	12	 0.0142
20	13	 0.0110
20	14	 0.0151
20	15	 0.0116
20	16	 0.0082
20	17	 0.0130
20	18	 0.0087
20	19	 0.0166
20	20	 0.4379
20	21	 0.0116
20	22	 0.0071
20	23	 0.0198
20	24	 0.0142
20	25	 0.0095
20	26	 0.0081
20	27	 0.0142
20	28	 0.0127
20	29	 0.0114
20	30	 0.0092
20	31	 0.0131
20	32	 0.0167
20	33	 0.0136
20	34	 0.0187
20	35	 0.0250
20	36	 0.0079
20	37	 0.0070
20	38	 0.0076
20	39	 0.0062
20	40	 0.0236
20	41	 0.0095
20	42	 0.0126
20	43	 0.0130
20	44	 0.0160
20	45	 0.0078
21	0	 0.0155
21	1	 0.0185
21	2	 0.0129
21	3	 0.0124
21	4	 0.0286
21	5	 0.0049
21	6	 0.0119
21	7	 0.0067
21	8	 0.0073
21	9	 0.0156
21	10	 0.0185
21	11	 0.0216
21	12	 0.0082
21	13	 0.0115
21	14	 0.0197
21	15	 0.0107
21	16	 0.0319
21	17	 0.0133
21	18	 0.0148
21	19	 0.0083
21	20	 0.0109
21	21	 0.2652
21	22	 0.0124
21	23	 0.0113
21	24	 0.0216
21	25	 0.0062
21	26	 0.0110
21	27	 0.0151
21	28	 0.0125
21	29	 0.0274
21	30	 0.0065
21	31	 0.0089
21	32	 0.0237
21	33	 0.0099
21	34	 0.0105
21	35	 0.0110
21	36	 0.0100
21	37	 0.0130
21	38	 0.0119
21	39	 0.0155
21	40	 0.0275
21	41	 0.0057
21	42	 0.0163
21	43	 0.0115
