actual_comm	pred_comm	lstm-3-0	lstm-3-1	lstm-3-2	lstm-3-3	transformer-3-0	transformer-3-1	transformer-3-2	transformer-3-3
0	0	0.15665846	0.13057841	0.12981555	0.10300755	0.11187711	0.12760876	0.15729967	0.1268347
0	1	0.055906434	0.055618685	0.052799214	0.04613768	0.040975057	0.05238483	0.02970337	0.04524311
0	2	0.023256212	0.026645385	0.025658559	0.025931653	0.02434725	0.02727313	0.017586857	0.024067352
0	3	0.00591678	0.0070654545	0.006796802	0.008904523	0.010848123	0.006283731	0.007885285	0.008482999
0	4	0.028181275	0.032801125	0.02998689	0.031164788	0.026430473	0.023975128	0.02763184	0.030579759
0	5	0.0037390767	0.0037514549	0.0040972736	0.00480921	0.007097262	0.0068652346	0.0041210074	0.0041711717
0	6	0.007964222	0.0101525085	0.010795579	0.01119396	0.012944391	0.013141781	0.013633235	0.00869704
0	7	0.008934547	0.011868172	0.012959268	0.0137016345	0.013421541	0.012039618	0.011395364	0.011714394
0	8	0.007522297	0.0066711023	0.005923579	0.007804135	0.0081157405	0.0073314933	0.007894909	0.006776959
0	9	0.008133985	0.006863255	0.0076127504	0.009167356	0.010563519	0.0100770015	0.0069802087	0.010230217
0	10	0.014938364	0.014666831	0.017739065	0.018315122	0.014436132	0.01471165	0.01530494	0.016344473
0	11	0.0069694654	0.007989137	0.0075935326	0.0102598565	0.009830624	0.0072741807	0.00834956	0.006910335
0	12	0.0061387722	0.0059770592	0.005254289	0.0057784608	0.007362858	0.0058939364	0.005796047	0.005223867
0	13	0.013299156	0.0108292755	0.013593019	0.017192764	0.012509822	0.011121041	0.0098189935	0.01634587
0	14	0.047807127	0.042793144	0.052852243	0.03684	0.042174414	0.03711945	0.03620188	0.04180884
0	15	0.005858094	0.0068461834	0.006142905	0.008686943	0.008074585	0.0067142984	0.0073328926	0.006600951
0	16	0.008090278	0.008496845	0.0067218016	0.010481678	0.008505335	0.0066862223	0.006409998	0.0073097195
0	17	0.006484607	0.0060901935	0.0064936974	0.0072058863	0.008635579	0.0066502215	0.0069820327	0.0066454876
0	18	0.06077301	0.061115477	0.05167388	0.05499996	0.03464375	0.05705734	0.033665426	0.071764834
0	19	0.004707204	0.0045485497	0.0047155907	0.005026461	0.007655112	0.0049243253	0.0047970386	0.004837097
0	20	0.0074346764	0.009172228	0.0065091155	0.008300482	0.015887968	0.009026876	0.008266011	0.009912584
0	21	0.01582408	0.017304989	0.017681459	0.0134966215	0.01592447	0.014068282	0.011474046	0.014541894
0	22	0.041541345	0.04017306	0.041440178	0.042619824	0.031481817	0.036046147	0.030381387	0.035501532
0	23	0.014302102	0.011661603	0.013999475	0.018535176	0.018603923	0.015534704	0.01829931	0.015384435
0	24	0.014971117	0.018162511	0.017784711	0.021325821	0.015567247	0.015371226	0.014830676	0.018129522
0	25	0.0047532083	0.0048719286	0.005139379	0.0068967	0.0076010884	0.0050729634	0.0061442214	0.0044253543
0	26	0.026627915	0.032608215	0.032726686	0.0363797	0.03349124	0.02920799	0.028388731	0.034992117
0	27	0.028028416	0.026256096	0.027693894	0.02615136	0.02486939	0.02217964	0.02456801	0.027964339
0	28	0.015378362	0.016085088	0.014148684	0.017582718	0.026294688	0.026838625	0.016457876	0.013597563
0	29	0.010783343	0.013454521	0.013412203	0.0125635285	0.014295538	0.015177169	0.0136966435	0.011299163
0	30	0.0043830634	0.004709321	0.006301094	0.0058683963	0.0057968562	0.00576291	0.00398161	0.005189359
0	31	0.008709872	0.008761338	0.007179132	0.010305185	0.0107909525	0.007034278	0.010407751	0.010990089
0	32	0.0121923955	0.017461823	0.019439774	0.018811287	0.015412804	0.013486784	0.012453568	0.015654702
0	33	0.007708634	0.0069712973	0.0065749614	0.008977142	0.009579296	0.0063739754	0.007576211	0.008184713
0	34	0.012149235	0.009332623	0.009863259	0.011735806	0.013383236	0.008432406	0.0110710375	0.014332588
