actual_comm	confered_to	avg_prob
0	0	 0.1573
0	1	 0.0297
0	2	 0.0176
0	3	 0.0079
0	4	 0.0276
0	5	 0.0041
0	6	 0.0136
0	7	 0.0114
0	8	 0.0079
0	9	 0.0070
0	10	 0.0153
0	11	 0.0083
0	12	 0.0058
0	13	 0.0098
0	14	 0.0362
0	15	 0.0073
0	16	 0.0064
0	17	 0.0070
0	18	 0.0337
0	19	 0.0048
0	20	 0.0083
0	21	 0.0115
0	22	 0.0304
0	23	 0.0183
0	24	 0.0148
0	25	 0.0061
0	26	 0.0284
0	27	 0.0246
0	28	 0.0165
0	29	 0.0137
0	30	 0.0040
0	31	 0.0104
0	32	 0.0125
0	33	 0.0076
0	34	 0.0111
0	35	 0.0178
0	36	 0.0072
0	37	 0.1556
0	38	 0.0079
0	39	 0.0579
0	40	 0.0130
0	41	 0.0156
0	42	 0.0135
0	43	 0.0406
0	44	 0.0143
0	45	 0.0200
1	0	 0.0509
1	1	 0.0855
1	2	 0.0323
1	3	 0.0093
1	4	 0.0212
1	5	 0.0052
1	6	 0.0164
1	7	 0.0239
1	8	 0.0081
1	9	 0.0061
1	10	 0.0225
1	11	 0.0114
1	12	 0.0066
1	13	 0.0206
1	14	 0.0301
1	15	 0.0082
1	16	 0.0074
1	17	 0.0058
1	18	 0.0594
1	19	 0.0065
1	20	 0.0084
1	21	 0.0168
1	22	 0.0445
1	23	 0.0114
1	24	 0.0194
1	25	 0.0062
1	26	 0.0284
1	27	 0.0219
1	28	 0.0575
1	29	 0.0271
1	30	 0.0046
1	31	 0.0069
1	32	 0.0318
1	33	 0.0060
1	34	 0.0092
1	35	 0.0115
1	36	 0.0073
1	37	 0.0833
1	38	 0.0125
1	39	 0.0349
1	40	 0.0188
1	41	 0.0062
1	42	 0.0186
1	43	 0.0196
1	44	 0.0172
1	45	 0.0326
2	0	 0.0225
2	1	 0.0273
2	2	 0.3572
2	3	 0.0055
2	4	 0.0152
2	5	 0.0033
2	6	 0.0139
2	7	 0.0077
2	8	 0.0050
2	9	 0.0044
2	10	 0.0105
2	11	 0.0052
2	12	 0.0050
2	13	 0.0063
2	14	 0.0163
2	15	 0.0052
2	16	 0.0039
2	17	 0.0044
2	18	 0.0265
2	19	 0.0043
2	20	 0.0064
2	21	 0.0110
2	22	 0.1237
2	23	 0.0092
2	24	 0.0067
2	25	 0.0035
2	26	 0.0164
2	27	 0.0122
2	28	 0.0415
2	29	 0.0297
2	30	 0.0027
2	31	 0.0066
2	32	 0.0071
2	33	 0.0051
2	34	 0.0062
2	35	 0.0068
2	36	 0.0052
2	37	 0.0298
2	38	 0.0096
2	39	 0.0322
2	40	 0.0086
2	41	 0.0051
2	42	 0.0083
2	43	 0.0117
2	44	 0.0073
2	45	 0.0375
3	0	 0.0095
3	1	 0.0089
3	2	 0.0074
3	3	 0.3480
3	4	 0.0112
3	5	 0.0069
3	6	 0.0223
3	7	 0.0092
3	8	 0.0097
3	9	 0.0156
3	10	 0.0192
3	11	 0.0206
3	12	 0.0083
3	13	 0.0140
3	14	 0.0111
3	15	 0.0641
3	16	 0.0212
3	17	 0.0438
3	18	 0.0099
3	19	 0.0097
3	20	 0.0109
3	21	 0.0140
3	22	 0.0095
3	23	 0.0127
3	24	 0.0197
3	25	 0.0102
3	26	 0.0121
3	27	 0.0121
3	28	 0.0076
3	29	 0.0157
3	30	 0.0090
3	31	 0.0074
3	32	 0.0153
3	33	 0.0082
3	34	 0.0114
3	35	 0.0077
3	36	 0.0315
3	37	 0.0079
3	38	 0.0127
3	39	 0.0084
3	40	 0.0183
3	41	 0.0070
3	42	 0.0166
3	43	 0.0181
3	44	 0.0188
3	45	 0.0066
4	0	 0.0203
4	1	 0.0127
4	2	 0.0093
4	3	 0.0098
4	4	 0.4396
4	5	 0.0054
4	6	 0.0159
4	7	 0.0111
4	8	 0.0074
4	9	 0.0091
4	10	 0.0183
4	11	 0.0141
4	12	 0.0069
4	13	 0.0108
4	14	 0.0172
4	15	 0.0067
4	16	 0.0091
4	17	 0.0098
4	18	 0.0141
4	19	 0.0070
4	20	 0.0093
4	21	 0.0173
4	22	 0.0110
4	23	 0.0120
4	24	 0.0169
4	25	 0.0073
4	26	 0.0158
4	27	 0.0222
4	28	 0.0060
4	29	 0.0167
4	30	 0.0045
4	31	 0.0080
4	32	 0.0157
4	33	 0.0077
4	34	 0.0100
4	35	 0.0084
4	36	 0.0067
4	37	 0.0177
4	38	 0.0077
4	39	 0.0379
4	40	 0.0204
4	41	 0.0069
4	42	 0.0174
4	43	 0.0160
4	44	 0.0159
4	45	 0.0099
5	0	 0.0047
5	1	 0.0046
5	2	 0.0030
5	3	 0.0066
5	4	 0.0052
5	5	 0.7267
5	6	 0.0073
5	7	 0.0072
5	8	 0.0093
5	9	 0.0078
5	10	 0.0062
5	11	 0.0087
5	12	 0.0048
5	13	 0.0066
5	14	 0.0056
5	15	 0.0062
5	16	 0.0056
5	17	 0.0088
5	18	 0.0042
5	19	 0.0089
5	20	 0.0068
5	21	 0.0042
5	22	 0.0035
5	23	 0.0049
5	24	 0.0060
5	25	 0.0074
5	26	 0.0057
5	27	 0.0064
5	28	 0.0057
5	29	 0.0057
5	30	 0.0082
5	31	 0.0060
5	32	 0.0076
5	33	 0.0058
5	34	 0.0086
5	35	 0.0071
5	36	 0.0052
5	37	 0.0039
5	38	 0.0043
5	39	 0.0043
5	40	 0.0078
5	41	 0.0053
5	42	 0.0071
5	43	 0.0056
5	44	 0.0059
5	45	 0.0032
6	0	 0.0088
6	1	 0.0117
6	2	 0.0099
6	3	 0.0191
6	4	 0.0156
6	5	 0.0065
6	6	 0.3555
6	7	 0.0123
6	8	 0.0111
6	9	 0.0106
6	10	 0.0231
6	11	 0.0143
6	12	 0.0142
6	13	 0.0123
6	14	 0.0141
6	15	 0.0138
6	16	 0.0089
6	17	 0.0088
6	18	 0.0104
6	19	 0.0082
6	20	 0.0121
6	21	 0.0119
6	22	 0.0107
6	23	 0.0186
6	24	 0.0178
6	25	 0.0138
6	26	 0.0139
6	27	 0.0197
6	28	 0.0135
6	29	 0.0219
6	30	 0.0059
6	31	 0.0125
6	32	 0.0174
6	33	 0.0120
6	34	 0.0147
6	35	 0.0518
6	36	 0.0102
6	37	 0.0079
6	38	 0.0131
6	39	 0.0118
6	40	 0.0191
6	41	 0.0089
6	42	 0.0211
6	43	 0.0235
6	44	 0.0187
6	45	 0.0082
7	0	 0.0093
7	1	 0.0116
7	2	 0.0074
7	3	 0.0086
7	4	 0.0089
7	5	 0.0073
7	6	 0.0146
7	7	 0.5292
7	8	 0.0232
7	9	 0.0063
7	10	 0.0119
7	11	 0.0082
7	12	 0.0070
7	13	 0.0240
7	14	 0.0093
7	15	 0.0077
7	16	 0.0072
7	17	 0.0074
7	18	 0.0115
7	19	 0.0090
7	20	 0.0081
7	21	 0.0061
7	22	 0.0096
7	23	 0.0074
7	24	 0.0128
7	25	 0.0087
7	26	 0.0191
7	27	 0.0153
7	28	 0.0107
7	29	 0.0100
7	30	 0.0067
7	31	 0.0074
7	32	 0.0144
7	33	 0.0100
7	34	 0.0105
7	35	 0.0111
7	36	 0.0075
