actual_comm	confered_to	avg_prob
6	2	 0.0091
6	3	 0.0183
6	4	 0.0156
6	5	 0.0058
6	6	 0.3231
6	7	 0.0123
6	8	 0.0120
6	9	 0.0127
6	10	 0.0273
6	11	 0.0127
6	12	 0.0141
6	13	 0.0118
6	14	 0.0175
6	15	 0.0146
6	16	 0.0137
6	17	 0.0093
6	18	 0.0111
6	19	 0.0090
6	20	 0.0134
6	21	 0.0148
6	22	 0.0118
6	23	 0.0158
6	24	 0.0196
6	25	 0.0125
6	26	 0.0173
6	27	 0.0217
6	28	 0.0103
6	29	 0.0309
6	30	 0.0077
6	31	 0.0114
6	32	 0.0189
6	33	 0.0135
6	34	 0.0146
6	35	 0.0473
6	36	 0.0102
6	37	 0.0067
6	38	 0.0133
6	39	 0.0104
6	40	 0.0159
6	41	 0.0068
6	42	 0.0230
6	43	 0.0273
6	44	 0.0227
6	45	 0.0103
7	0	 0.0080
7	1	 0.0160
7	2	 0.0076
7	3	 0.0072
7	4	 0.0079
7	5	 0.0099
7	6	 0.0132
7	7	 0.5363
7	8	 0.0184
7	9	 0.0058
7	10	 0.0148
7	11	 0.0070
7	12	 0.0072
7	13	 0.0270
7	14	 0.0122
7	15	 0.0086
7	16	 0.0085
7	17	 0.0063
7	18	 0.0138
7	19	 0.0076
7	20	 0.0072
7	21	 0.0067
7	22	 0.0100
7	23	 0.0054
7	24	 0.0153
7	25	 0.0083
7	26	 0.0171
7	27	 0.0154
7	28	 0.0084
7	29	 0.0115
7	30	 0.0078
7	31	 0.0060
7	32	 0.0168
7	33	 0.0100
7	34	 0.0090
7	35	 0.0068
7	36	 0.0066
7	37	 0.0060
7	38	 0.0110
7	39	 0.0098
7	40	 0.0068
7	41	 0.0041
7	42	 0.0183
7	43	 0.0100
7	44	 0.0151
7	45	 0.0074
8	0	 0.0064
8	1	 0.0060
8	2	 0.0044
8	3	 0.0084
8	4	 0.0057
8	5	 0.0157
8	6	 0.0085
8	7	 0.0196
8	8	 0.4456
8	9	 0.0207
8	10	 0.0093
8	11	 0.0162
8	12	 0.0160
8	13	 0.0179
8	14	 0.0102
8	15	 0.0107
8	16	 0.0054
8	17	 0.0122
8	18	 0.0052
8	19	 0.0235
8	20	 0.0133
8	21	 0.0051
8	22	 0.0054
8	23	 0.0083
8	24	 0.0087
8	25	 0.0224
8	26	 0.0081
8	27	 0.0095
8	28	 0.0077
8	29	 0.0081
8	30	 0.0248
8	31	 0.0135
8	32	 0.0100
8	33	 0.0241
8	34	 0.0652
8	35	 0.0075
8	36	 0.0083
8	37	 0.0040
8	38	 0.0070
8	39	 0.0050
8	40	 0.0137
8	41	 0.0187
8	42	 0.0102
8	43	 0.0093
8	44	 0.0104
8	45	 0.0040
9	0	 0.0079
9	1	 0.0074
9	2	 0.0041
9	3	 0.0147
9	4	 0.0115
9	5	 0.0081
9	6	 0.0124
9	7	 0.0065
9	8	 0.0215
9	9	 0.3417
9	10	 0.0190
9	11	 0.0338
9	12	 0.0150
9	13	 0.0171
9	14	 0.0122
9	15	 0.0165
9	16	 0.0170
9	17	 0.0217
9	18	 0.0075
9	19	 0.0243
9	20	 0.0228
9	21	 0.0129
9	22	 0.0058
9	23	 0.0084
9	24	 0.0180
9	25	 0.0150
9	26	 0.0087
9	27	 0.0123
9	28	 0.0049
9	29	 0.0113
9	30	 0.0445
9	31	 0.0158
9	32	 0.0182
9	33	 0.0151
9	34	 0.0330
9	35	 0.0101
9	36	 0.0170
9	37	 0.0058
9	38	 0.0110
9	39	 0.0060
9	40	 0.0171
9	41	 0.0182
9	42	 0.0155
9	43	 0.0103
9	44	 0.0167
9	45	 0.0055
10	0	 0.0158
10	1	 0.0235
10	2	 0.0101
10	3	 0.0214
10	4	 0.0203
10	5	 0.0077
10	6	 0.0235
10	7	 0.0175
10	8	 0.0113
10	9	 0.0190
10	10	 0.0972
10	11	 0.0250
10	12	 0.0151
10	13	 0.0263
10	14	 0.0279
10	15	 0.0199
10	16	 0.0206
10	17	 0.0166
10	18	 0.0230
10	19	 0.0121
10	20	 0.0150
10	21	 0.0190
10	22	 0.0155
10	23	 0.0176
10	24	 0.0428
10	25	 0.0151
10	26	 0.0258
10	27	 0.0328
10	28	 0.0089
10	29	 0.0376
10	30	 0.0114
10	31	 0.0134
10	32	 0.0465
10	33	 0.0116
10	34	 0.0165
10	35	 0.0087
10	36	 0.0148
10	37	 0.0143
10	38	 0.0209
