pca1	pca2	community	category
 0.1918	 0.2214	streetwear	other
-0.2647	 0.1610	Jokes	other
 0.5729	 0.3988	MaddenUltimateTeam	videogames
-0.1455	 0.3043	cringe	other
 0.1698	 0.6562	CFB	sports
-0.2347	 0.0420	food	other
 0.4113	-0.3252	pcmasterrace	technology
 0.3955	-0.2811	jailbreak	technology
 0.2012	 0.5781	MLS	sports
-0.0247	 0.7180	MMA	sports
-0.2311	 0.4120	rupaulsdragrace	other
 0.4840	 0.0286	GlobalOffensive	videogames
-0.1588	 0.2597	bodybuilding	other
 0.2743	 0.4685	Kappa	other
-0.1653	 0.1107	videos	other
 0.1998	 0.5611	reddevils	sports
-0.1972	 0.0330	todayilearned	general-interest
 0.1685	-0.3955	KerbalSpaceProgram	videogames
-0.2134	 0.1138	justneckbeardthings	other
-0.1924	-0.1924	LifeProTips	general-interest
 0.2749	-0.1710	airsoft	other
 0.5693	-0.2940	GameDeals	other
-0.1721	 0.0224	toronto	other
 0.2771	-0.1031	eu4	videogames
 0.0065	-0.0601	cars	other
 0.4120	-0.1977	Warframe	videogames
-0.1699	 0.0392	EarthPorn	other
 0.3148	-0.6171	techsupport	technology
 0.4356	-0.0267	heroesofthestorm	videogames
-0.1861	-0.0102	Drugs	other
 0.3257	-0.3255	oculus	technology
 0.0207	 0.0214	KotakuInAction	other
-0.3630	-0.0710	exjw	other
-0.3498	-0.1573	stopdrinking	other
-0.4092	-0.1379	AskWomen	female-focused
 0.3004	-0.0981	EDH	videogames
-0.0050	-0.3362	photography	other
-0.1527	-0.1244	Fantasy	other
-0.1925	-0.2516	femalefashionadvice	female-focused
-0.3277	-0.0910	breakingmom	female-focused
-0.2999	-0.1912	BabyBumps	female-focused
-0.1868	-0.1574	explainlikeimfive	general-interest
-0.3079	-0.1295	xxfitness	female-focused
-0.4113	-0.1055	TwoXChromosomes	female-focused
-0.2534	-0.2008	Advice	general-interest
-0.3911	-0.0988	relationships	general-interest
