community	category	lstm-3-0_lm_ppl	lstm-3-1_lm_ppl	lstm-3-2_lm_ppl	lstm-3-3_lm_ppl	transformer-3-0_lm_ppl	transformer-3-1_lm_ppl	transformer-3-2_lm_ppl	transformer-3-3_lm_ppl	lstm-3_lm_ppl	transformer-3_lm_ppl	lstm-3-0_pca1	lstm-3-0_pca2	lstm-3-1_pca1	lstm-3-1_pca2	lstm-3-2_pca1	lstm-3-2_pca2	lstm-3-3_pca1	lstm-3-3_pca2	transformer-3-0_pca1	transformer-3-0_pca2	transformer-3-1_pca1	transformer-3-1_pca2	transformer-3-2_pca1	transformer-3-2_pca2	transformer-3-3_pca1	transformer-3-3_pca2	lstm-3-0_indisc	lstm-3-1_indisc	lstm-3-2_indisc	lstm-3-3_indisc	transformer-3-0_indisc	transformer-3-1_indisc	transformer-3-2_indisc	transformer-3-3_indisc	lstm-3-0_info_gain	lstm-3-1_info_gain	lstm-3-2_info_gain	lstm-3-3_info_gain	transformer-3-0_info_gain	transformer-3-1_info_gain	transformer-3-2_info_gain	transformer-3-3_info_gain
Jokes	other	39.548042	38.68066	39.142	39.02622	45.18468	46.985577	57.043636	44.778324	40.91408	48.76368	-0.50932574	-0.039533082	-0.052253913	-0.23601907	-0.19345142	0.059529383	-0.18977667	-0.04061745	-0.26472268	0.1609556	-0.22843842	-0.33007208	-0.427163	-0.5745321	-0.19312654	-0.016490279	0.8792907051418138	0.848654788473378	0.8470077514648438	0.890583784683891	0.9380899512249491	0.9054247814676036	0.8825177731721298	0.8796930727751359	1.0345412	1.05774	1.0452732	1.0483742	1.0792083	1.0378436	0.85484874	1.0890019
Kappa	other	56.243435	54.757034	55.26821	55.250534	66.841576	68.98359	82.84174	63.221695	60.53192	72.318695	-0.18810257	0.34446737	0.43731925	-0.06952839	0.022440528	0.36395714	0.19859838	0.15929876	0.27432698	0.46854475	0.5918253	-0.34710342	0.78391755	-0.8524073	0.15097168	0.2810842	0.5308921233467434	0.512341250544009	0.48794344197148865	0.5435093589451002	0.6618888274483059	0.6075776970904806	0.5345525741577148	0.5338266621465269	1.0762486	1.1054639	1.0952394	1.0955898	1.0819418	1.0483464	0.8729741	1.1438905
KerbalSpaceProgram	videogames	51.32897	50.74032	50.775757	49.82023	59.372253	62.16089	78.55565	58.578003	53.668858	62.810986	0.3064402	-0.16416736	-0.2525	-0.039232176	0.113407865	-0.1665983	0.27728358	-0.47646242	0.16848092	-0.39553565	0.050509162	0.3426274	-0.08997824	1.1071924	0.43073368	-0.351401	0.3211822924406632	0.3064487706059995	0.30350376212078595	0.32380900175675104	0.37488033460534137	0.3545225806858229	0.324940826581872	0.3130817827971085	1.0455861	1.0577163	1.056978	1.0772504	1.0579182	1.0104584	0.7995731	1.0722623
KotakuInAction	other	64.79537	62.843403	63.24222	62.217167	73.89553	78.193245	100.03124	73.59309	63.500496	74.39293	-0.1566701	-0.18144622	0.07712128	-0.13985343	-0.13519901	0.11797323	-0.0045589106	-0.16026168	0.02070093	0.021417871	0.042946655	-0.13095061	0.16393182	-0.0965602	0.06118525	-0.06407083	0.6197361324144446	0.5969381332397461	0.5933234587959622	0.635162353515625	0.7554805589758832	0.6980249985404636	0.6121561216271442	0.5852235296498174	0.98001593	1.0104561	1.0040839	1.0206267	1.0067312	0.95139843	0.7436969	1.0108684
LifeProTips	general-interest	55.229965	53.718426	54.376034	53.255608	63.524063	66.8808	86.65614	63.3778	53.210003	62.63647	-0.103008196	-0.04590207	-0.2054236	-0.023234025	-0.109604664	-0.15516385	-0.13420261	-0.12768444	-0.19236284	-0.19239627	-0.29714966	0.07218855	-0.6367238	0.038325343	-0.13597824	-0.15470222	0.8802642822265625	0.8758756388788638	0.8711539558742357	0.9043660371199899	0.9289496877919072	0.8977959674337636	0.8685106194537618	0.8875225730564283	0.96342635	0.99053544	0.97855616	0.99914366	0.9860275	0.93653893	0.7228163	0.988303
MLS	sports	54.04337	52.121983	53.199482	52.505962	62.300503	64.96121	80.18118	61.06943	57.09145	67.34743	0.05107322	0.3612384	0.2736803	-0.1951353	-0.0012002762	0.27993274	0.14134748	0.54342157	0.20118308	0.57806	0.4469907	-0.5292896	1.0279622	-0.5727413	-0.01248021	0.5378499	0.4245927230171535	0.403715299523395	0.4014356447302777	0.43236446380615234	0.5156699885492739	0.4638284600299338	0.44633247541344684	0.4418692796126656	1.0564007	1.095343	1.073158	1.0873327	1.0810094	1.0367329	0.83994055	1.102801
MMA	sports	57.3666	55.86637	56.609543	55.560406	66.03149	69.527054	85.87959	65.6474	60.416256	71.85143	-0.19914122	0.5264676	0.20347315	-0.18663177	-0.041452676	0.33721918	-0.065190114	0.41677865	-0.024707135	0.7179933	0.23820265	-0.61625636	0.6813128	-0.83668303	-0.15083525	0.47573337	0.36273172627324646	0.3488679139510445	0.33036323215650476	0.36966419219970703	0.4533103030660878	0.4190388140471085	0.3566200007563052	0.36416124260943866	1.0531608	1.0814422	1.0672451	1.0873977	1.0881389	1.0334313	0.8366532	1.0945054
MaddenUltimateTeam	videogames	45.69469	44.968334	45.655346	46.072968	53.190716	55.89403	68.10245	52.40889	50.90997	61.285915	0.29384905	0.47301552	0.3325653	0.31268844	0.42987612	0.15799153	0.42496622	0.8070504	0.5729254	0.39879805	0.73268694	0.12072622	1.201562	-0.13289592	0.20326476	0.75887626	0.30592134724492615	0.2978970900825832	0.29908849882042926	0.3421454014985458	0.35893290975819464	0.3560844089673913	0.32224029043446417	0.340624477552331	1.1141331	1.1321293	1.1150932	1.1049857	1.152192	1.0964662	0.89990765	1.1693802
TwoXChromosomes	female-focused	51.899387	50.49211	51.097965	49.830925	59.89555	63.91976	85.31788	60.428677	49.639923	58.73637	-0.13404128	-0.16044988	-0.119201474	-0.12539998	-0.16804256	-0.053112775	-0.25523043	-0.11025819	-0.41129902	-0.10553833	-0.39203435	-0.113581665	-0.6705022	-0.2571398	-0.22567011	-0.14651588	0.649649951768958	0.6646948689999788	0.6590393315190854	0.7016463901685632	0.7726082179857336	0.6923875394074813	0.6409995866858441	0.6580170755800994	0.9564645	0.98312235	0.97146577	0.996167	0.98064667	0.9189078	0.6884415	0.971995
Warframe	videogames	63.80115	62.37374	62.8541	61.301987	72.805275	76.768036	96.651634	71.83368	66.43216	77.18925	0.20391756	-0.10115979	-0.034387223	0.066658795	0.15556505	-0.031121982	0.39324304	-0.20279568	0.4119835	-0.19767456	0.24555771	0.36037314	0.48438525	0.47058016	0.43112293	-0.25562954	0.26193846826967987	0.2571907250777535	0.2495673428411069	0.2686331583106	0.29286191774451215	0.3159763502038043	0.2803529034490171	0.2631358063739279	1.0412376	1.0650661	1.0569265	1.083687	1.060215	1.0054868	0.79863364	1.0745552
airsoft	other	51.21696	50.177956	50.683422	49.3598	59.392727	61.701355	78.5876	58.63867	53.403725	62.823723	0.303714	0.11072952	0.06750525	0.2922019	0.18780047	-0.16107424	0.19986495	-0.16038159	0.2749347	-0.17100543	0.28903252	0.25846553	0.34909418	0.59122384	0.25591633	-0.10250951	0.3439505618551503	0.32374023354571796	0.3224157665086829	0.35170285598091455	0.39733584030814795	0.36165494504182233	0.3385472297668457	0.35167760434358014	1.0426961	1.0642866	1.0536724	1.0819275	1.057768	1.0181904	0.7994101	1.0713701
bodybuilding	other	52.469612	51.206432	51.738155	51.114758	61.05202	63.908966	81.51786	60.24748	53.76531	64.00138	-0.097795404	0.32878065	0.0053318413	0.1289531	-0.012811444	-0.029377794	-0.20931327	0.15751712	-0.15877722	0.25966808	-0.024216734	-0.15594867	-0.17349815	-0.55665636	-0.23807597	0.09176335	0.5287975642992102	0.5024672383847444	0.4809150281159774	0.5425485113392705	0.6219709645146909	0.5791282653808594	0.5363418744957965	0.5251566430796748	1.0246942	1.0499718	1.039181	1.0518548	1.048309	1.001446	0.78512096	1.0623081
breakingmom	female-focused	50.997604	49.745186	50.62328	49.219284	58.174633	62.27772	79.36086	58.52002	50.148697	59.27477	-0.1534723	-0.05795285	-0.18115264	-0.11995124	-0.14403579	-0.13441977	-0.20177688	0.0033027376	-0.3277301	-0.09104517	-0.29083413	-0.03579251	-0.57565886	-0.028750619	-0.31640002	-0.112281434	0.5265963595846425	0.5354822407598081	0.5382277861885403	0.5848908631697946	0.6685855284981106	0.5994873876157014	0.5604922667793606	0.5503171837848165	0.983354	1.0081116	0.9906252	1.0188831	1.0189109	0.9517813	0.74690175	1.0128973
cars	other	58.441376	57.543312	57.970604	57.04149	66.87021	70.828545	90.07153	67.34752	60.39751	71.58376	-0.038725074	0.023686426	-0.100661084	0.12100905	-0.01770495	-0.053467054	-0.07783747	0.107077144	0.0065436005	-0.060064223	-0.051154003	0.10755096	0.0021227433	0.09570806	-0.048881967	-0.029703505	0.3129482476607613	0.30964436738387396	0.29731221820997156	0.3168383681255838	0.3549229580423106	0.33030524461165717	0.27932189858478046	0.31472411363021185	1.0334717	1.0496008	1.0418644	1.0588348	1.0704881	1.0106627	0.7947435	1.0629013
cringe	other	46.727768	45.66307	46.26904	45.652744	53.76377	56.702557	70.27202	53.458652	47.2149	55.410343	-0.36954752	0.07943527	0.11544626	-0.20828591	-0.23222698	0.14144553	-0.2217384	0.052463897	-0.14553097	0.30430984	-0.09462348	-0.46742547	-0.048295517	-0.7657321	-0.20783325	0.09091219	0.8313020623248556	0.8085701154625934	0.8041395104449728	0.8434536146081012	0.9198843914529552	0.8828540470289148	0.847091011379076	0.8224250959313434	1.010425	1.0339843	1.0204426	1.0342182	1.030626	0.97721064	0.7885122	1.0365084
eu4	videogames	58.460857	57.530113	57.605442	56.83913	65.88885	69.39675	87.43713	65.408745	62.389446	72.640144	0.2738374	-0.2347629	-0.2558029	-0.051055524	0.23841384	0.118872	0.3863863	-0.06160074	0.27709404	-0.10313432	0.20611641	0.14932193	0.24727573	0.6505294	0.4640225	-0.021343423	0.1980221997136655	0.193438778752866	0.18249030735181726	0.19219174592391305	0.2241573955701745	0.21851491928100586	0.19714925600134808	0.20098404262376868	1.0672003	1.0844659	1.0830477	1.0976496	1.1024649	1.046737	0.83076996	1.1105571
exjw	other	53.656563	52.399426	52.43492	51.85298	61.67453	64.89781	82.28876	61.07977	52.887127	61.946774	-0.25893298	-0.32977343	-0.071649134	-0.214927	-0.14418858	-0.010685549	-0.28252143	-0.17183115	-0.3629985	-0.07100043	-0.42700034	0.0022639497	-0.6262109	-0.2994332	-0.18028231	-0.12495901	0.5433799494867739	0.5106261709462041	0.49872709357220196	0.5484892389048701	0.6783311263374661	0.590135615804921	0.5277374931003737	0.5438784309055494	0.98565996	1.0093074	1.0086241	1.0199438	1.0044142	0.9545279	0.75279754	1.0141946
explainlikeimfive	general-interest	67.97461	66.50304	67.09894	65.76211	77.90193	82.53802	110.4258	78.25196	65.46547	76.197075	-0.07230209	-0.2474918	-0.20408767	-0.10891085	-0.12099384	-0.08062405	-0.14176832	-0.11912249	-0.18682633	-0.15738964	-0.28583637	-0.015385681	-0.622441	0.067295305	-0.041283775	-0.18876354	0.7851821235988451	0.8018025937287704	0.7716693048891814	0.8426914215087891	0.8536471491274626	0.8408566350522249	0.7502205060875934	0.7855520663054093	0.9630871	0.9843982	0.9756558	0.99548924	0.9781153	0.9231755	0.6900297	0.97374016
