community1	community2	category	lstm-3-0_cos_sim	lstm-3-1_cos_sim	lstm-3-2_cos_sim	lstm-3-3_cos_sim	transformer-3-0_cos_sim	transformer-3-1_cos_sim	transformer-3-2_cos_sim	transformer-3-3_cos_sim	snap_cos_sim
streetwear	Jokes	other	-0.04217224940657616	-0.004710258916020393	-0.03404435142874718	-0.02076302096247673	-0.04764019697904587	0.013597792945802212	0.09376990050077438	0.04684920608997345	0.021575626414077113
streetwear	MaddenUltimateTeam	other	0.375140905380249	0.35532060265541077	0.18464131653308868	0.12247099727392197	0.2967960834503174	0.32224762439727783	0.3494164049625397	0.2198197841644287	0.3763984271623208
streetwear	cringe	other	0.18482650816440582	0.17608588933944702	-0.006219593342393637	0.14884205162525177	0.14803928136825562	0.10019014030694962	0.19077153503894806	0.167696014046669	0.27802649055034456
streetwear	CFB	other	0.2929821014404297	-0.10204051434993744	-0.01748112589120865	0.018646931275725365	-0.12386815994977951	0.0353902168571949	0.157370924949646	0.03558192774653435	0.09214820218263041
streetwear	food	other	0.2089618295431137	0.5201625823974609	0.2629382312297821	0.10582583397626877	0.10768123716115952	0.09946396946907043	0.006041442044079304	-0.011500380001962185	0.010613061176616999
streetwear	pcmasterrace	other	0.16593872010707855	0.3288760781288147	0.12629595398902893	-0.054279912263154984	0.14954392611980438	0.13878440856933594	0.07741725444793701	0.09183042496442795	0.19237471688875105
streetwear	jailbreak	other	0.21576936542987823	0.13195686042308807	0.1789969652891159	0.1134728416800499	0.15632264316082	0.14171986281871796	0.0026373951695859432	-0.0022524783853441477	0.32519278000821744
streetwear	MLS	other	0.04827771335840225	-0.2627834975719452	-0.11405341327190399	-0.06910600513219833	-0.09420786052942276	-0.2029644250869751	-0.08237292617559433	-0.18855725228786469	0.34904036814540335
streetwear	MMA	other	0.26231732964515686	0.05122097581624985	0.052618350833654404	-0.0068180798552930355	0.002329688984900713	-0.014950769022107124	0.004741395823657513	0.09003926813602448	0.2712814505139515
streetwear	rupaulsdragrace	other	0.4029194116592407	0.3788769543170929	0.13681361079216003	0.10317882150411606	0.19757790863513947	0.118412546813488	0.08730785548686981	0.214146688580513	0.1129778281948478
