actual_comm	confered_to	avg_prob
0	0	 0.1306
0	1	 0.0556
0	2	 0.0266
0	3	 0.0071
0	4	 0.0328
0	5	 0.0038
0	6	 0.0102
0	7	 0.0119
0	8	 0.0067
0	9	 0.0069
0	10	 0.0147
0	11	 0.0080
0	12	 0.0060
0	13	 0.0108
0	14	 0.0428
0	15	 0.0068
0	16	 0.0085
0	17	 0.0061
0	18	 0.0611
0	19	 0.0045
0	20	 0.0092
0	21	 0.0173
0	22	 0.0402
0	23	 0.0117
0	24	 0.0182
0	25	 0.0049
0	26	 0.0326
0	27	 0.0263
0	28	 0.0161
0	29	 0.0135
0	30	 0.0047
0	31	 0.0088
0	32	 0.0175
0	33	 0.0070
0	34	 0.0093
0	35	 0.0126
0	36	 0.0061
0	37	 0.1284
0	38	 0.0069
0	39	 0.0326
0	40	 0.0107
0	41	 0.0139
0	42	 0.0213
0	43	 0.0247
0	44	 0.0204
0	45	 0.0239
1	0	 0.0455
1	1	 0.1162
1	2	 0.0356
1	3	 0.0084
1	4	 0.0169
1	5	 0.0042
1	6	 0.0136
1	7	 0.0227
1	8	 0.0058
1	9	 0.0060
1	10	 0.0233
1	11	 0.0089
1	12	 0.0067
1	13	 0.0193
1	14	 0.0338
1	15	 0.0079
1	16	 0.0100
1	17	 0.0051
1	18	 0.0699
1	19	 0.0051
1	20	 0.0080
1	21	 0.0185
1	22	 0.0458
1	23	 0.0093
1	24	 0.0248
1	25	 0.0052
1	26	 0.0241
1	27	 0.0239
1	28	 0.0468
1	29	 0.0240
1	30	 0.0048
1	31	 0.0052
1	32	 0.0393
1	33	 0.0057
1	34	 0.0079
1	35	 0.0083
1	36	 0.0066
1	37	 0.0671
1	38	 0.0136
1	39	 0.0258
1	40	 0.0125
1	41	 0.0049
1	42	 0.0249
1	43	 0.0173
1	44	 0.0251
1	45	 0.0362
2	0	 0.0206
2	1	 0.0406
2	2	 0.3694
2	3	 0.0050
2	4	 0.0115
2	5	 0.0025
2	6	 0.0108
2	7	 0.0090
2	8	 0.0038
2	9	 0.0038
2	10	 0.0103
2	11	 0.0036
2	12	 0.0052
2	13	 0.0050
2	14	 0.0178
2	15	 0.0050
2	16	 0.0056
2	17	 0.0034
2	18	 0.0276
2	19	 0.0039
2	20	 0.0068
2	21	 0.0127
2	22	 0.1397
2	23	 0.0078
2	24	 0.0084
2	25	 0.0037
2	26	 0.0189
2	27	 0.0118
2	28	 0.0257
2	29	 0.0235
2	30	 0.0027
2	31	 0.0050
2	32	 0.0073
2	33	 0.0055
2	34	 0.0045
2	35	 0.0056
2	36	 0.0043
2	37	 0.0252
2	38	 0.0086
2	39	 0.0247
2	40	 0.0049
2	41	 0.0036
2	42	 0.0105
2	43	 0.0097
2	44	 0.0100
2	45	 0.0441
3	0	 0.0087
3	1	 0.0090
3	2	 0.0067
3	3	 0.3622
3	4	 0.0100
3	5	 0.0059
3	6	 0.0187
3	7	 0.0078
3	8	 0.0083
3	9	 0.0122
3	10	 0.0233
3	11	 0.0234
3	12	 0.0094
3	13	 0.0142
3	14	 0.0124
3	15	 0.0629
3	16	 0.0243
3	17	 0.0407
3	18	 0.0096
3	19	 0.0071
3	20	 0.0107
3	21	 0.0151
3	22	 0.0100
3	23	 0.0107
3	24	 0.0201
3	25	 0.0099
3	26	 0.0121
3	27	 0.0127
3	28	 0.0057
3	29	 0.0166
3	30	 0.0090
3	31	 0.0072
3	32	 0.0188
3	33	 0.0068
3	34	 0.0116
3	35	 0.0063
3	36	 0.0300
3	37	 0.0073
3	38	 0.0130
3	39	 0.0101
3	40	 0.0145
3	41	 0.0054
3	42	 0.0171
3	43	 0.0178
3	44	 0.0182
3	45	 0.0064
4	0	 0.0234
4	1	 0.0171
4	2	 0.0084
4	3	 0.0076
4	4	 0.4210
4	5	 0.0044
4	6	 0.0151
4	7	 0.0111
4	8	 0.0066
4	9	 0.0098
4	10	 0.0178
4	11	 0.0141
4	12	 0.0074
4	13	 0.0108
4	14	 0.0217
4	15	 0.0084
4	16	 0.0101
4	17	 0.0096
4	18	 0.0176
4	19	 0.0061
4	20	 0.0089
4	21	 0.0276
4	22	 0.0118
4	23	 0.0099
