actual_comm	confered_to	avg_prob
0	0	 0.1276
0	1	 0.0524
0	2	 0.0273
0	3	 0.0063
0	4	 0.0240
0	5	 0.0069
0	6	 0.0131
0	7	 0.0120
0	8	 0.0073
0	9	 0.0101
0	10	 0.0147
0	11	 0.0073
0	12	 0.0059
0	13	 0.0111
0	14	 0.0371
0	15	 0.0067
0	16	 0.0067
0	17	 0.0067
0	18	 0.0571
0	19	 0.0049
0	20	 0.0090
0	21	 0.0141
0	22	 0.0360
0	23	 0.0155
0	24	 0.0154
0	25	 0.0051
0	26	 0.0292
0	27	 0.0222
0	28	 0.0268
0	29	 0.0152
0	30	 0.0058
0	31	 0.0070
0	32	 0.0135
0	33	 0.0064
0	34	 0.0084
0	35	 0.0171
0	36	 0.0065
0	37	 0.1409
0	38	 0.0079
0	39	 0.0398
0	40	 0.0137
0	41	 0.0117
0	42	 0.0159
0	43	 0.0288
0	44	 0.0161
0	45	 0.0269
1	0	 0.0507
1	1	 0.0885
1	2	 0.0381
1	3	 0.0081
1	4	 0.0148
1	5	 0.0079
1	6	 0.0147
1	7	 0.0226
1	8	 0.0071
1	9	 0.0082
1	10	 0.0213
1	11	 0.0087
1	12	 0.0075
1	13	 0.0197
1	14	 0.0293
1	15	 0.0093
1	16	 0.0080
1	17	 0.0055
1	18	 0.0625
1	19	 0.0061
1	20	 0.0094
1	21	 0.0178
1	22	 0.0407
1	23	 0.0110
1	24	 0.0205
1	25	 0.0053
1	26	 0.0284
1	27	 0.0232
1	28	 0.0676
1	29	 0.0265
1	30	 0.0058
1	31	 0.0043
1	32	 0.0265
1	33	 0.0067
1	34	 0.0072
1	35	 0.0124
1	36	 0.0080
1	37	 0.0704
1	38	 0.0154
1	39	 0.0275
1	40	 0.0161
1	41	 0.0054
1	42	 0.0197
1	43	 0.0193
1	44	 0.0196
1	45	 0.0469
2	0	 0.0268
2	1	 0.0390
2	2	 0.3347
2	3	 0.0056
2	4	 0.0106
2	5	 0.0036
2	6	 0.0113
2	7	 0.0091
2	8	 0.0050
2	9	 0.0048
2	10	 0.0101
2	11	 0.0039
2	12	 0.0057
2	13	 0.0063
2	14	 0.0181
2	15	 0.0064
2	16	 0.0045
2	17	 0.0045
2	18	 0.0364
2	19	 0.0044
2	20	 0.0061
2	21	 0.0116
2	22	 0.1045
2	23	 0.0088
2	24	 0.0084
2	25	 0.0037
2	26	 0.0174
2	27	 0.0133
2	28	 0.0431
2	29	 0.0251
2	30	 0.0037
2	31	 0.0041
2	32	 0.0083
2	33	 0.0064
2	34	 0.0048
2	35	 0.0069
2	36	 0.0063
2	37	 0.0333
2	38	 0.0110
2	39	 0.0335
2	40	 0.0069
2	41	 0.0042
2	42	 0.0097
2	43	 0.0107
2	44	 0.0090
2	45	 0.0483
3	0	 0.0093
3	1	 0.0098
3	2	 0.0084
3	3	 0.3124
3	4	 0.0096
3	5	 0.0102
3	6	 0.0192
3	7	 0.0091
3	8	 0.0094
3	9	 0.0142
3	10	 0.0207
3	11	 0.0177
3	12	 0.0106
3	13	 0.0145
3	14	 0.0123
3	15	 0.0735
3	16	 0.0268
3	17	 0.0444
3	18	 0.0106
3	19	 0.0066
3	20	 0.0116
3	21	 0.0149
3	22	 0.0118
3	23	 0.0122
3	24	 0.0198
3	25	 0.0087
3	26	 0.0144
3	27	 0.0139
3	28	 0.0081
3	29	 0.0164
3	30	 0.0096
3	31	 0.0068
3	32	 0.0175
3	33	 0.0085
3	34	 0.0121
3	35	 0.0073
3	36	 0.0386
3	37	 0.0088
3	38	 0.0155
3	39	 0.0090
3	40	 0.0154
3	41	 0.0075
3	42	 0.0175
3	43	 0.0177
3	44	 0.0193
3	45	 0.0079
4	0	 0.0305
4	1	 0.0168
4	2	 0.0125
4	3	 0.0089
4	4	 0.3791
4	5	 0.0063
4	6	 0.0159
4	7	 0.0120
4	8	 0.0073
4	9	 0.0118
4	10	 0.0159
4	11	 0.0133
4	12	 0.0075
4	13	 0.0110
4	14	 0.0218
4	15	 0.0074
4	16	 0.0112
4	17	 0.0110
4	18	 0.0177
4	19	 0.0064
4	20	 0.0092
4	21	 0.0224
4	22	 0.0149
4	23	 0.0114
4	24	 0.0158
4	25	 0.0061
4	26	 0.0182
4	27	 0.0222
4	28	 0.0085
4	29	 0.0173
4	30	 0.0060
4	31	 0.0062
4	32	 0.0158
4	33	 0.0089
4	34	 0.0095
4	35	 0.0098
4	36	 0.0094
4	37	 0.0206
4	38	 0.0078
4	39	 0.0375
4	40	 0.0250
4	41	 0.0063
4	42	 0.0203
4	43	 0.0154
4	44	 0.0176
4	45	 0.0136
5	0	 0.0047
5	1	 0.0054
5	2	 0.0032
5	3	 0.0062
5	4	 0.0039
5	5	 0.7286
5	6	 0.0061
5	7	 0.0100
5	8	 0.0077
5	9	 0.0069
5	10	 0.0068
5	11	 0.0065
5	12	 0.0068
5	13	 0.0067
5	14	 0.0056
5	15	 0.0078
5	16	 0.0055
5	17	 0.0102
5	18	 0.0042
5	19	 0.0069
